239,AIR TRACTOR INC/AT-300,3,30000.0,10.0,513.0
240,AIR TRACTOR INC/AT-301,3,30000.0,10.0,513.0
241,EAGLEROCK/A-1,3,30000.0,10.0,454.5
242,EAGLEROCK/A-2,3,30000.0,10.0,454.5
243,EAGLEROCK/A-3,3,30000.0,10.0,454.5
244,EAGLEROCK/A-4,3,30000.0,10.0,454.5
245,EAGLEROCK/A-12,3,30000.0,10.0,454.5
246,EAGLEROCK/A-14,3,30000.0,10.0,454.5
247,EAGLEROCK/LONG WING EAGLEROCK,3,30000.0,10.0,454.5
248,AIRCOUPE/F-1A,3,30000.0,10.0,616.5
249,FORNEY/F-1,3,30000.0,10.0,652.5
250,FORNEY/F-1A,3,30000.0,10.0,652.5
251,ENGINEERING & RESEARCH/415-C,3,30000.0,10.0,652.5
252,ENGINEERING & RESEARCH/415-CD,3,30000.0,10.0,652.5
253,ENGINEERING & RESEARCH/415-D,3,30000.0,10.0,652.5
254,ENGINEERING & RESEARCH/415-E,3,30000.0,10.0,652.5
255,ENGINEERING & RESEARCH/415-G,3,30000.0,10.0,652.5
256,ENGINEERING & RESEARCH/ERCOUPE 415-C,3,30000.0,10.0,652.5
257,ENGINEERING & RESEARCH/ERCOUPE 415-CD,3,30000.0,10.0,652.5
258,ENGINEERING & RESEARCH/ERCOUPE 415-D,3,30000.0,10.0,652.5
259,ENGINEERING & RESEARCH/ERCOUPE 415-E,3,30000.0,10.0,652.5
260,ENGINEERING & RESEARCH/ERCOUPE 415-G,3,30000.0,10.0,652.5
261,ERCOUPE/415-C,3,30000.0,10.0,652.5
262,ERCOUPE/415-CD,3,30000.0,10.0,652.5
263,ERCOUPE/415-D,3,30000.0,10.0,652.5
264,ERCOUPE/415-E,3,30000.0,10.0,652.5
265,ERCOUPE/415-G,3,30000.0,10.0,652.5
266,FORNEY/415-C,3,30000.0,10.0,6516.0
267,FORNEY/415-CD,3,30000.0,10.0,652.5
268,FORNEY/415-D,3,30000.0,10.0,652.5
269,ERCO/415-C,3,30000.0,10.0,639.0
270,ERCO/415-CD,3,30000.0,10.0,639.0
271,ERCO/415-D,3,30000.0,10.0,616.5
272,ERCO/415-E,3,30000.0,10.0,567.0
273,ERCO/415-G,3,30000.0,10.0,567.0
274,FORNEY/E,3,30000.0,10.0,652.5
275,ERCOUPE/E,3,30000.0,10.0,652.5
276,FORNEY/G,3,30000.0,10.0,616.5
277,ERCOUPE/G,3,30000.0,10.0,616.5
278,AIR & SPACE AMERICA INC/18A,3,30000.0,10.0,454.5
279,ALL AMERICAN/10A,3,30000.0,10.0,702.0
280,ALLIANCE AIRCRAFT/ARGO,3,30000.0,10.0,585.0
281,ALON/A2,3,30000.0,10.0,675.0
282,ALON/A-2A,3,30000.0,10.0,675.0
283,ALON/A-3,3,30000.0,10.0,616.5
284,ALON/X-A4,3,30000.0,10.0,616.5
285,SKYHOPPER/10,3,30000.0,10.0,616.5
286,SKYHOPPER/II,3,30000.0,10.0,616.5
287,FLITE CRAFT INC/SENIOR AERO SPORT 10,3,30000.0,10.0,616.5
288,SKYHOPPER/10,3,30000.0,10.0,616.5
